,Value,list
TF,Fur,RegulonDB
reg_genes,142,"['STM0585' 'STM3147' 'STM0462' 'STM3507' 'STM2148' 'STM0732' 'STM1371'
 'STM0194' 'STM1299' 'STM0733' 'STM1211' 'STM1932' 'STM2556' 'STM1925'
 'STM3158' 'STM3149' 'STM1746' 'STM0439' 'STM0440' 'STM2609' 'STM0597'
 'STM3506' 'STM4188' 'STM2807' 'STM3248' 'STM3145' 'STM0598' 'STM0590'
 'STM0591' 'STM3325' 'STM3146' 'STM3247' 'STM1743' 'STM4575' 'STM3502'
 'STM3143' 'STM0596' 'STM2081' 'STM1924' 'STM0195' 'STM2263' 'STM3331'
 'STM2801' 'STM0215' 'STM3235' 'STM4266' 'STM1263' 'STM2808' 'STM0316'
 'STM3148' 'STM1744' 'STM3798' 'STM0738' 'STM0683' 'STM0684' 'STM0735'
 'STM0736' 'STM1742' 'STM3136' 'STM0595' 'STM3969' 'STM0739' 'STM0734'
 'STM1374' 'STM1500' 'STM0192' 'STM1703' 'STM3150' 'STM0692' 'STM0599'
 'STM1370' 'STM0154' 'STM1430' 'STM0593' 'STM0441' 'STM0588' 'STM3249'
 'STM4034' 'STM1720' 'STM1737' 'STM1318' 'STM4265' 'STM0443' 'STM3214'
 'STM4088' 'STM3565' 'STM4240' 'STM1163' 'STM0587' 'STM0693' 'STM3159'
 'STM0193' 'STM3330' 'STM0442' 'STM0681' 'STM2924' 'STM0463' 'STM0682'
 'STM4300' 'STM3144' 'STM4064' 'STM0737' 'STM1469' 'STM1660' 'STM4099'
 'STM1745' 'STM1373' 'STM1886' 'STM0589' 'STM1834' 'STM0214' 'STM1567'
 'STM1712' 'STM3135' 'STM2646' 'STM2806' 'STM2684' 'STM4106']"
chip_genes,70,"['STM3484' 'STM2667' 'STM1865' 'STM4031' 'STM2501' 'STM3215' 'STM1623'
 'STM1472' 'STM3389' 'STM0363' 'STM1662' 'STM4595' 'STM3444' 'STM1158'
 'STM0151' 'STM4596' 'STM3312' 'STM2773' 'STM1283' 'STM3521' 'STM2777'
 'STM1250' 'STM0725' 'STM1286' 'STM3369' 'STM0971' 'STM2482' 'STM2861'
 'STM1296' 'STM1260' 'STM2214' 'STM0989' 'STM2119' 'STM2548' 'STM2311'
 'STM2264' 'STM1818' 'STM2246' 'STM2585' 'STM1274' 'STM3029' 'STM2406'
 'STM4561' 'STM2517' 'STM1316' 'STM0015']"
both_genes,24,"['STM2199' 'STM1950' 'STM1586' 'STM2408' 'STM0586' 'STM1346' 'STM1204'
 'STM1935' 'STM0488' 'STM2805' 'STM4552' 'STM4550' 'STM0594' 'STM3505'
 'STM1369' 'STM0191' 'STM0592' 'STM0772' 'STM4055' 'STM0998' 'STM3546'
 'STM3024' 'STM1372' 'STM0482']"
reg_genes2,0,
chip_genes2,0,
both_genes2,0,
