,binding_width
1,32
2,30
3,47
4,27
5,38
6,45
7,33
8,29
9,18
10,34
11,49
12,23
13,26
14,32
15,29
16,22
17,25
18,15
19,25
20,32
21,25
22,35
23,21
24,40
25,43
26,44
27,31
28,33
29,31
30,30
31,22
32,42
33,33
34,37
35,27
36,52
37,28
38,34
39,14
40,15
41,36
42,50
43,30
44,37
45,47
46,29
47,38
48,26
49,40
50,49
51,33
52,46
53,26
54,25
55,23
56,48
57,31
58,35
59,35
60,41
61,37
62,35
63,31
64,29
65,33
66,26
67,42
68,40
69,32
70,38
71,32
72,28
73,26
74,31
75,36
76,34
77,31
78,30
79,24
80,31
81,15
82,34
83,39
84,14
85,36
86,34
87,30
88,31
89,33
90,36
91,35
92,30
93,40
94,27
95,26
96,22
97,33
98,36
99,33
100,33
101,30
102,34
103,31
104,34
105,30
106,37
107,40
108,25
109,37
110,15
111,43
112,9
113,50
114,52
115,36
116,33
117,35
118,32
119,47
120,15
121,22
122,35
123,34
124,30
125,31
126,29
127,29
128,35
129,26
130,20
131,13
132,36
133,28
134,31
135,21
136,38
137,24
138,14
139,21
140,27
141,28
142,40
143,30
144,33
145,30
146,35
147,36
148,32
149,32
150,30
151,36
152,32
153,34
154,28
155,30
156,35
157,33
158,32
159,28
160,32
161,37
162,31
163,31
164,38
165,32
166,45
167,46
168,28
169,29
170,12
171,38
172,28
173,22
174,18
175,32
176,33
177,29
178,51
