,Value,list
TF,GadX,RegulonDB_TF
reg_genes,34,"['murI' 'b4452' 'hns' 'mdtE' 'glnK' 'hdeD' 'cadA' 'dtpA' 'ydeN' 'rpoS'
 'gadE' 'speG' 'asnB' 'btuB' 'lon' 'ynfB' 'b4718' 'amtB' 'uspE' 'ydeM'
 'hdeA' 'mdtF' 'cadB' 'hdeB' 'yhiD']"
chip_genes,87,"['rplD' 'uxaA' 'yhhX' 'dhaR' 'yiiS' 'ydgD' 'yffR' 'uxaC' 'rpsS' 'galU'
 'yafT' 'pnp' 'aslB' 'ompN' 'rspA' 'intF' 'yfaL' 'argG' 'rpsC' 'gcvT'
 'cnu' 'rplV' 'infB' 'ydbJ' 'uspD' 'yhiS_1' 'gcvH' 'ygeF_2' 'gltX' 'yffS'
 'nusA' 'yeiQ' 'rpsQ' 'rplW' 'uspA' 'rplC' 'fhuC' 'ygeF_1' 'ydgJ' 'truB'
 'yhiS_2' 'mdtL' 'dhaM' 'yhhY' 'fhuD' 'yecA' 'dhaK' 'rspB' 'rpmC' 'yhjC'
 'yqeK' 'ysaB' 'rbfA' 'arsC' 'uspB' 'uxaB' 'fhuB' 'blr' 'rpsJ' 'rpsO'
 'metK' 'exuT' 'rimP' 'rplP' 'gcvP' 'arsR' 'ydgU' 'yagN' 'yhjB' 'rplB'
 'yffQ' 'pfo' 'copA' 'asr' 'dhaL' 'yeeO' 'arsB' 'wecH']"
both_genes,9,['dctR' 'gadA' 'gadW' 'glsA' 'gadC' 'gadX' 'ybaT' 'slp' 'gadB']
reg_genes2,0,
chip_genes2,0,
both_genes2,0,
