,Value,list
TF,CpxR,RegulonDB_TF; Ecocyc
reg_genes,71,"['mdtC' 'fabZ' 'ygaU' 'mscM' 'b4490' 'motB' 'yqaE' 'lpxD' 'csgB' 'csgA'
 'iceT' 'marA' 'mdtB' 'ung' 'slt' 'aroG' 'spy' 'sbmA' 'yaiW' 'marR'
 'b4725' 'dgcZ' 'bamE' 'csgG' 'lpxA' 'csgF' 'ftnB' 'yqjA' 'dsbC' 'yidQ'
 'b4716' 'yjfN' 'bacA' 'mzrA' 'csgD' 'motA' 'cheW' 'mdtA' 'yebE' 'baeR'
 'ppiD' 'csgC' 'b4431' 'psd' 'skp' 'baeS' 'ldtC' 'cheA' 'marB' 'ompF'
 'csgE' 'b4438' 'acrD']"
chip_genes,243,"['fdoG' 'fimI' 'fau' 'ybdN' 'rplO' 'purD' 'paoB' 'nuoN' 'aceF' 'glpR_1'
 'efeU_2' 'cydB' 'yceJ' 'casB' 'pnp' 'nuoB' 'purH' 'yihQ' 'cydA' 'atpB'
 'zinT' 'hpf' 'intF' 'nuoH' 'nuoL' 'glpD' 'lptA' 'dapE' 'infB' 'lpd'
 'prlC' 'rplN' 'queF' 'rplJ' 'casC' 'yhbJ' 'sspA' 'rplA' 'atpC' 'waaL'
 'nuoA' 'yacH' 'xylE' 'yagL' 'sgbH' 'nusA' 'lldP' 'ygeH' 'glpR_2' 'mlaD'
 'nuoK' 'ypfN' 'nuoE' 'rcsD' 'rplX' 'rpmD' 'ybeF' 'waaC' 'ubiC' 'rplR'
 'dacA' 'nuoM' 'ygbT' 'pheL' 'yiaY' 'eptB' 'ubiH' 'rplF' 'rplE' 'casA'
 'casD' 'rpmJ' 'mepS' 'pheT' 'gyrA' 'ychH' 'raiA' 'aceE' 'pitA' 'yagU'
 'insH1' 'ygbF' 'tsgA' 'yrfF' 'tnaC' 'mobB' 'casE' 'exuT' 'mlaC' 'nuoG'
 'atpA' 'fimD' 'ypjC' 'paoA' 'gntR' 'lptB' 'pepP' 'lptC' 'yffQ' 'nuoJ'
 'glpE' 'rlmJ' 'tnaA' 'ychF' 'rcsB' 'waaZ' 'gntU' 'paoD' 'ubiG' 'waaU'
 'yiaO' 'cspA' 'pheA' 'atpD' 'uxaA' 'rnk' 'ygiC' 'rpsH' 'sdaA' 'mlaF'
 'yffR' 'uxaC' 'pth' 'yciX' 'mlaB' 'atpI' 'atpG' 'lyxK' 'yagM' 'lldR'
 'ymiA' 'yhiN' 'hldD' 'argG' 'acnB' 'rplL' 'flhD' 'syd' 'mobA' 'rpsN'
 'kdsD' 'yfgF' 'ycgJ' 'yeaI' 'sspB' 'rpoN' 'yceI' 'mlaE' 'rsmJ' 'yjbI_3'
 'ubiA' 'rmf' 'fimH' 'ubiI' 'fdoH' 'secY' 'fdhE' 'truB' 'glpG' 'efeU_1'
 'pdhR' 'deoB' 'rpoB' 'ygiB' 'yibB' 'ytfJ' 'aroL' 'ynfC' 'atpF' 'zapA'
 'gltF' 'ypfM' 'fdoI' 'ynfK' 'flhC' 'nudE' 'mlc' 'aroM' 'sgbU' 'sgbE'
 'aslA' 'ytfK' 'rbfA' 'cspI' 'atpE' 'yhdU' 'yfgG' 'ygfB' 'nuoF' 'yrbG'
 'npr' 'fimC' 'yjiY' 'deoD' 'fimG' 'waaY' 'waaF' 'rplK' 'rpsO' 'ptsN'
 'ygfI' 'yaiI' 'rimP' 'fdhD' 'aroP' 'ygeG' 'nuoC' 'rpoC' 'fimA' 'nadB'
 'rpsE' 'yjtD' 'gntK' 'waaR' 'yaiA' 'yffB' 'paoC' 'kdsC' 'tnaB' 'fimF'
 'lldD' 'ihfA' 'nuoI' 'ynfD' 'atpH']"
both_genes,18,"['srkA' 'cpxA' 'ompC' 'rpoH' 'rseB' 'rseC' 'cpxP' 'tomB' 'tsr' 'yccA'
 'rseA' 'rpoE' 'ldtD' 'hha' 'ppiA' 'degP' 'cpxR' 'dsbA']"
reg_genes2,0,
chip_genes2,0,
both_genes2,0,
