,Value,list
TF,KdpE,RegulonDB_TF
reg_genes,0,[]
chip_genes,199,"['gltU' 'dnaG' 'mltA' 'uxaC' 'rpmJ' 'ariR' 'uxaB' 'rimM' 'rrfC' 'ilvE'
 'rpmH' 'dhaR' 'ybfB' 'argG' 'secY' 'zwf' 'gapC' 'proP' 'fau' 'rplJ'
 'ymgA' 'ycgZ' 'Phantom Gene' 'pdeB' 'pheA' 'ilvM' 'rrsE' 'ompF'
 'Phantom Gene' 'bcsE' 'rrsC' 'rrlH' 'focA' 'yieH' 'ilvL' 'fusA'
 'Phantom Gene' 'trmD' 'leuL' 'pnp' 'rpmD' 'ysaE' 'exbB' 'pheL' 'rpsP'
 'rplO' 'pspH' 'gpt' 'yifB' 'rplK' 'ymgC' 'tsaD' 'yffR' 'leuC' 'rpsN'
 'Phantom Gene' 'rplF' 'raiA' 'ybfA' 'rrlE' 'raiZ' 'ssuB' 'truB' 'rplN'
 'ilvX' 'exuR' 'dhaL' 'uxuA' 'tufA' 'rnpA' 'Phantom Gene' 'hsrA' 'yafO'
 'rpmG' 'mdtL' 'yffS' 'yafN' 'mhpC' 'rpoC' 'rrsH' 'infB' 'yieP' 'moaB'
 'agrA' 'bcsG' 'ssuD' 'mhpD' 'rpsU' 'mutM' 'yhfT' 'rimP' 'rpsO' 'sutR'
 'rplS' 'rpsG' 'metV' 'yeiQ' 'dhaK' 'rpmB' 'metE' 'rpoD' 'ilvD' 'adeP'
 'rrlC' 'Phantom Gene' 'moaC' 'rhsC' 'ssuE' 'dinQ' 'dhaM' 'metY' 'exuT'
 'yhhY' 'yebK' 'cyoB' 'Phantom Gene' 'metZ' 'rplR' 'rplM' 'mhpE' 'php'
 'rplE' 'yhhX' 'cyoE' 'ileV' 'ycgR' 'rpsH' 'arsR' 'purD' 'moaD' 'arsB'
 'rpsE' 'bluF' 'yffQ' 'rbfA' 'recD' 'ydcO' 'gntP' 'ybhK' 'ssuA' 'recB'
 'rrfH' 'Phantom Gene' 'cyoD' 'yhfW' 'ilvG' 'moaA' 'intF' 'ypjD' 'moaE'
 'metR' 'ilvA' 'cyoC' 'ptrA' 'metW' 'nusA' 'rrfE' 'leuA' 'rplL' 'yafP'
 'agrB' 'rplA' 'uxaA' 'yfjD' 'gltV' 'yiaG' 'exbD' 'cyoA' 'yhfU' 'arsC'
 'yhfS' 'rplX' 'frsA' 'ssuC' 'bcsF' 'purH' 'yhfX' 'leuB' 'rpsL' 'ryhB'
 'alaV' 'ssrS' 'elfA' 'rpsI' 'leuD' 'qseG' 'mhpF' 'rpoB' 'uxuB' 'mutT'
 'cybB' 'cspA' 'pflB' 'pspG' 'metC']"
both_genes,0,['kdpA' 'kdpF' 'kdpC' 'kdpB']
reg_genes2,4,
chip_genes2,0,
both_genes2,0,
