,value,list
TF,YdcI,Gao2021; Ecocyc
reg_genes,21,"['iraP', 'gltP', 'yicG', 'lldP', 'yhdV', 'srlM', 'yojI', 'yobA', 'yobF', 'dtpA', 'trkG', 'wrbA', 'ybhI', 'sdhC', 'gltA', 'tomB', 'ddlA', 'nhaA', 'isrC', 'flu', 'smrB']"
reg_only,11,"['yicG', 'lldP', 'yhdV', 'srlM', 'yojI', 'wrbA', 'sdhC', 'tomB', 'isrC', 'flu', 'smrB']"
chip_genes,34,"['nhaA', 'nhaR', 'mokC', 'hokC', 'iraP', 'ddlA', 'gltA', 'ybhI', 'trkG', 'uxaB', 'dtpA', 'cspC', 'yobF', 'holE', 'yobB', 'exoX', 'yebY', 'yebZ', 'yobA', 'yeiB', 'mdtL', 'ilvL', 'ilvX', 'ilvG_1', 'ilvG_2', 'ilvM', 'ilvE', 'ilvD', 'ilvA', 'ilvG', 'yifB', 'aslB', 'proM', 'gltP']"
chip_only,24,"['nhaR', 'mokC', 'hokC', 'uxaB', 'cspC', 'holE', 'yobB', 'exoX', 'yebY', 'yebZ', 'yeiB', 'mdtL', 'ilvL', 'ilvX', 'ilvG_1', 'ilvG_2', 'ilvM', 'ilvE', 'ilvD', 'ilvA', 'ilvG', 'yifB', 'aslB', 'proM']"
shared_genes,10,"['iraP', 'gltP', 'yobA', 'yobF', 'dtpA', 'trkG', 'ybhI', 'gltA', 'ddlA', 'nhaA']"
all_genes,45,"['nhaR', 'mokC', 'hokC', 'uxaB', 'cspC', 'holE', 'yobB', 'exoX', 'yebY', 'yebZ', 'yeiB', 'mdtL', 'ilvL', 'ilvX', 'ilvG_1', 'ilvG_2', 'ilvM', 'ilvE', 'ilvD', 'ilvA', 'ilvG', 'yifB', 'aslB', 'proM', 'iraP', 'gltP', 'yicG', 'lldP', 'yhdV', 'srlM', 'yojI', 'yobA', 'yobF', 'dtpA', 'trkG', 'wrbA', 'ybhI', 'sdhC', 'gltA', 'tomB', 'ddlA', 'nhaA', 'isrC', 'flu', 'smrB']"
