,Value,list
TF,Cra,RegulonDB_TF
reg_genes,79,"['marB' 'cyoA' 'marR' 'zwf' 'poxB' 'betA' 'acnA' 'prpB' 'pck' 'cydB'
 'betT' 'betI' 'fbaB' 'ppsA' 'betB' 'prpD' 'ppc' 'mtlD' 'cyoB' 'cyoD'
 'cyoE' 'csgG' 'mtlA' 'acnB' 'csgD' 'hypF' 'cydA' 'setA' 'prpC' 'mtlR'
 'sgrT' 'csgE' 'prpE' 'sgrS' 'marA' 'pdeL' 'glcC' 'csgF' 'cyoC' 'eno']"
chip_genes,233,"['deaD' 'rplA' 'ychT' 'nuoA' 'ilvL' 'yffR' 'fhuC' 'yecA' 'argG' 'rplD'
 'yffQ' 'rplK' 'asnU' 'yhbE' 'rpoC' 'yifB' 'ilvD' 'setB' 'gudX' 'rpsS'
 'rluE' 'uhpA' 'pyrB' 'nuoN' 'ilvB' 'ivbL' 'ydhQ' 'yeeJ' 'Phantom Gene'
 'nusA' 'nikR' 'msrB' 'raiA' 'rbfA' 'rpsO' 'yejG' 'uhpB' 'yfeC' 'yrbN'
 'treC' 'ygfI' 'yoaL' 'mltA' 'Phantom Gene' 'fumD' 'nikA' 'rplB' 'yibN'
 'nikC' 'yfeO' 'rplP' 'yhbX' 'rpoB' 'nudJ' 'rhoL' 'argY' 'nuoC' 'ilvM'
 'nrdI' 'argV' 'rpmC' 'asnV' 'yghE' 'yahV' 'Phantom Gene' 'fbp' 'rpsU'
 'rplW' 'nuoF' 'asnW' 'thrW' 'Phantom Gene' 'raiZ' 'nuoM' 'nuoJ' 'gpsA'
 'argQ' 'nuoG' 'aslB' 'intF' 'yeaC' 'argZ' 'ilvN' 'leuT' 'ilvX' 'yhfT'
 'dnaG' 'nikB' 'ydhR' 'Phantom Gene' 'ilvA' 'valW' 'nuoE' 'gudP' 'rpsJ'
 'yhfS' 'yqcC' 'rpsC' 'asnS' 'truB' 'glmY' 'ysaE' 'nuoH' 'uhpC' 'yqhJ'
 'thrT' 'csrB' 'pdeA' 'rpmA' 'yhhX' 'yoaE' 'cysT' 'secB' 'rpsQ'
 'Phantom Gene' 'yfeD' 'rpoD' 'alaW' 'nuoL' 'sdsR' 'obgE' 'glrK' 'lysV'
 'rplJ' 'proM' 'nrdE' 'gltX' 'nac' 'rimP' 'proK' 'nuoB' 'nrdH' 'ilvE'
 'uxaB' 'nuoI' 'yhfA' 'truC' 'fhuD' 'nuoK' 'nikE' 'ryeA' 'Phantom Gene'
 'rplC' 'rplU' 'yqcA' 'uxaC' 'Phantom Gene' 'ryhB' 'fhuB' 'pyrI' 'valX'
 'yhhY' 'gudD' 'metY' 'pnp' 'Phantom Gene' 'mdtL' 'ilvG' 'exuT' 'infB'
 'tsaD' 'leuZ' 'grxC' 'glyW' 'nikD' 'yghD' 'yhfX' 'ispB'
 ""3'ETS-<i>leuZ</i>"" 'pyrL' 'php' 'rplV' 'tufB' 'leuU' 'alaX' 'yeeO'
 'aspV' 'yhfW' 'ychE' 'Phantom Gene' 'rho' 'yeeX' 'rplL' 'Phantom Gene'
 'cspA' 'pphA' 'yafT' 'uxaA' 'nrdF' 'treB' 'metV' 'yhfU' 'valU' 'valY']"
both_genes,39,"['lpd' 'aceF' 'ptsI' 'fruK' 'gpmM' 'nirB' 'yibQ' 'icd' 'fruB' 'pykF'
 'aceK' 'pgk' 'ptsH' 'epd' 'glk' 'nirC' 'crr' 'tpiA' 'crp' 'nirD' 'aceE'
 'aceA' 'fbaA' 'eda' 'adhE' 'pdhR' 'aceB' 'envC' 'pfkA' 'gapA' 'aroP'
 'manY' 'cysG' 'mpl' 'edd' 'manZ' 'fruA' 'manX' 'yeaD']"
reg_genes2,0,
chip_genes2,0,
both_genes2,0,
