,Value,list
TF,PuuR,RegulonDB_TF
reg_genes,8,['puuB' 'puuC' 'ymjE' 'puuA' 'puuD' 'puuR' 'puuP' 'puuE']
chip_genes,126,"['gltU' 'yceD' 'yjeV' 'rho' 'mraY' 'dnaA' 'rpmJ' 'mutM' 'murC' 'lysY'
 'ftsA' 'pheT' 'rrsA' 'rrfC' 'rrfA' 'ilvE' 'rpmH' 'fabD' 'plsX' 'fhuD'
 'rrsB' 'ftsW' 'rpmB' 'metE' 'ilvD' 'valZ' 'sdsR' 'fhuB' 'ftsI' 'secY'
 'rrlC' 'lysW' 'serA' 'fau' 'rplJ' 'rplQ' 'murE' 'ilvM' 'pphA' 'ftsQ'
 'rpoA' 'rplR' 'thrB' 'rrsC' 'rrlG' 'rplE' 'rrlH' 'rpsR' 'murG' 'mraZ'
 'ileV' 'rpsH' 'rrlB' 'rplT' 'rpmF' 'rpsE' 'rpmD' 'pheM' 'yffQ' 'ileT'
 'alaT' 'rplO' 'murD' 'rplI' 'rrfF' 'ftsZ' 'rpsK' 'fabG' 'ihfA' 'thrV'
 'rrfH' 'ilvG' 'rrfD' 'glyX' 'yffR' 'recF' 'yceF' 'rrfB' 'metR' 'rpsN'
 'rpmI' 'thrC' 'ilvA' 'ryeA' 'rplF' 'rpsD' 'rrlE' 'rrfE' 'rplL' 'gltW'
 'rplN' 'dnaN' 'ilvX' 'rplA' 'fhuC' 'gltV' 'rrlD' 'thrA' 'lpxC' 'rrsG'
 'murF' 'glyY' 'rnpA' 'rplX' 'hsrA' 'ftsL' 'fabF' 'rpmG' 'fabH' 'gltT'
 'rrfG' 'alaV' 'rrlA' 'ssrS' 'rpoC' 'acpP' 'rpoB' 'ddlB' 'priB' 'rrsH'
 'pheS' 'rsmH' 'valT' 'yieP' 'infC' 'ysdD']"
both_genes,0,[]
reg_genes2,0,
chip_genes2,0,
both_genes2,0,
